"날짜","종가","시가","고가","저가","거래량","변동 %"
"1996- 03- 07","1,093.12","1,092.77","1,095.63","1,090.35","","0.12%"
"1996- 03- 06","1,091.82","1,096.89","1,099.26","1,091.81","","-0.45%"
"1996- 03- 05","1,096.81","1,084.24","1,096.90","1,082.87","","1.10%"
"1996- 03- 04","1,084.88","1,088.91","1,092.15","1,083.12","","-0.11%"
"1996- 03- 01","1,086.08","1,098.94","1,100.55","1,082.79","","-1.27%"
"1996- 02- 29","1,100.05","1,102.17","1,107.55","1,097.89","","-0.68%"
"1996- 02- 28","1,107.55","1,109.60","1,115.09","1,106.05","","0.12%"
"1996- 02- 27","1,106.17","1,114.13","1,115.59","1,105.17","","-0.62%"
"1996- 02- 26","1,113.05","1,116.53","1,119.36","1,110.93","","-0.42%"
"1996- 02- 23","1,117.79","1,118.60","1,122.05","1,108.87","","0.06%"
"1996- 02- 22","1,117.11","1,100.17","1,117.77","1,096.84","","1.85%"
"1996- 02- 21","1,096.85","1,085.12","1,097.14","1,083.20","","1.26%"
"1996- 02- 20","1,083.24","1,085.52","1,090.71","1,079.91","","-0.68%"
"1996- 02- 16","1,090.71","1,091.39","1,092.07","1,085.47","","0.02%"
"1996- 02- 15","1,090.54","1,087.59","1,092.41","1,086.53","","0.23%"
"1996- 02- 14","1,088.03","1,089.60","1,093.66","1,083.74","","0.07%"
"1996- 02- 13","1,087.22","1,084.45","1,095.38","1,079.65","","-0.74%"
"1996- 02- 12","1,095.38","1,094.84","1,099.03","1,094.34","","0.07%"
"1996- 02- 09","1,094.60","1,093.39","1,099.05","1,089.84","","0.13%"
"1996- 02- 08","1,093.17","1,084.93","1,093.80","1,080.60","","0.76%"
"1996- 02- 07","1,084.88","1,088.87","1,090.08","1,081.11","","-0.39%"
"1996- 02- 06","1,089.08","1,084.08","1,090.77","1,083.35","","0.53%"
"1996- 02- 05","1,083.34","1,072.95","1,083.36","1,070.64","","1.05%"
"1996- 02- 02","1,072.11","1,071.65","1,076.83","1,069.45","","0.25%"
"1996- 02- 01","1,069.46","1,058.26","1,069.50","1,057.70","","0.91%"
"1996- 01- 31","1,059.79","1,052.21","1,059.81","1,043.37","","0.81%"
"1996- 01- 30","1,051.30","1,045.35","1,052.33","1,042.32","","0.84%"
"1996- 01- 29","1,042.51","1,042.53","1,044.78","1,039.68","","0.15%"
"1996- 01- 26","1,040.96","1,034.71","1,041.00","1,031.97","","0.48%"
"1996- 01- 25","1,035.95","1,045.17","1,046.15","1,034.91","","-0.72%"
"1996- 01- 24","1,043.46","1,032.69","1,043.46","1,028.04","","1.50%"
"1996- 01- 23","1,028.04","1,029.53","1,031.96","1,027.24","","-0.14%"
"1996- 01- 22","1,029.44","1,019.72","1,029.62","1,018.45","","1.08%"
"1996- 01- 19","1,018.45","1,009.60","1,019.62","1,007.01","","1.11%"
"1996- 01- 18","1,007.24","1,003.37","1,007.67","993.71","","0.90%"
"1996- 01- 17","998.30","987.28","1,006.41","985.99","","0.24%"
"1996- 01- 16","995.87","994.31","996.04","969.95","","0.74%"
"1996- 01- 15","988.57","1,009.96","1,010.92","988.57","","-1.95%"
"1996- 01- 12","1,008.23","1,013.26","1,015.16","1,001.84","","-0.28%"
"1996- 01- 11","1,011.10","999.92","1,011.28","990.21","","2.11%"
"1996- 01- 10","990.21","991.93","1,003.48","987.85","","-0.86%"
"1996- 01- 09","998.81","1,031.61","1,032.38","997.48","","-3.25%"
"1996- 01- 08","1,032.37","1,034.94","1,035.90","1,031.28","","-0.11%"
"1996- 01- 05","1,033.47","1,022.41","1,033.59","1,017.53","","0.35%"
"1996- 01- 04","1,029.82","1,047.20","1,048.09","1,021.39","","-1.57%"
"1996- 01- 03","1,046.26","1,056.36","1,058.94","1,045.32","","-1.17%"
"1996- 01- 02","1,058.65","1,052.83","1,058.88","1,048.38","","0.62%"
"1995- 12- 29","1,052.13","1,042.26","1,052.32","1,040.05","","0.95%"
"1995- 12- 28","1,042.22","1,044.38","1,048.16","1,039.47","","-0.56%"
"1995- 12- 27","1,048.13","1,049.90","1,051.30","1,045.90","","-0.12%"
"1995- 12- 26","1,049.37","1,047.56","1,049.75","1,045.48","","0.24%"
"1995- 12- 22","1,046.89","1,041.48","1,046.97","1,040.55","","0.60%"
"1995- 12- 21","1,040.64","1,030.24","1,040.70","1,025.27","","1.50%"
"1995- 12- 20","1,025.27","1,032.51","1,036.34","1,024.77","","-0.11%"
"1995- 12- 19","1,026.41","1,005.43","1,026.48","1,002.56","","2.38%"
"1995- 12- 18","1,002.56","1,029.12","1,030.64","1,001.37","","-2.71%"
"1995- 12- 15","1,030.48","1,041.11","1,042.09","1,028.14","","-0.74%"
"1995- 12- 14","1,038.19","1,057.03","1,058.54","1,038.13","","-1.74%"
"1995- 12- 13","1,056.54","1,054.46","1,058.70","1,052.07","","0.42%"
"1995- 12- 12","1,052.07","1,061.98","1,062.23","1,051.75","","-0.89%"
"1995- 12- 11","1,061.50","1,064.68","1,066.06","1,061.45","","-0.09%"
"1995- 12- 08","1,062.41","1,056.43","1,062.65","1,052.21","","0.88%"
"1995- 12- 07","1,053.17","1,061.89","1,062.40","1,048.11","","-0.81%"
"1995- 12- 06","1,061.73","1,067.86","1,070.16","1,055.42","","-0.39%"
"1995- 12- 05","1,065.89","1,071.24","1,075.14","1,064.06","","-0.36%"
"1995- 12- 04","1,069.79","1,057.95","1,072.55","1,055.25","","1.37%"
"1995- 12- 01","1,055.31","1,060.66","1,061.16","1,053.10","","-0.37%"
"1995- 11- 30","1,059.20","1,056.77","1,061.92","1,055.76","","0.15%"
"1995- 11- 29","1,057.57","1,052.68","1,057.85","1,049.47","","0.72%"
"1995- 11- 28","1,050.05","1,030.65","1,050.11","1,029.22","","2.01%"
"1995- 11- 27","1,029.32","1,034.00","1,038.11","1,028.96","","-0.08%"
"1995- 11- 24","1,030.17","1,022.84","1,030.24","1,021.24","","0.87%"
"1995- 11- 22","1,021.24","1,027.36","1,031.38","1,021.23","","-0.37%"
"1995- 11- 21","1,024.99","1,029.24","1,029.53","1,016.36","","-0.44%"
"1995- 11- 20","1,029.47","1,048.07","1,050.11","1,029.31","","-1.49%"
"1995- 11- 17","1,045.03","1,045.27","1,047.05","1,042.18","","0.05%"
"1995- 11- 16","1,044.48","1,038.33","1,049.12","1,036.96","","0.25%"
"1995- 11- 15","1,041.85","1,044.16","1,045.97","1,033.11","","0.12%"
"1995- 11- 14","1,040.62","1,054.14","1,058.66","1,040.60","","-1.69%"
"1995- 11- 13","1,058.46","1,063.21","1,067.00","1,057.29","","-0.51%"
"1995- 11- 10","1,063.87","1,063.72","1,068.80","1,060.70","","-0.16%"
"1995- 11- 09","1,065.59","1,057.03","1,065.66","1,047.94","","1.68%"
"1995- 11- 08","1,047.94","1,046.00","1,053.88","1,043.88","","0.39%"
"1995- 11- 07","1,043.90","1,058.99","1,062.14","1,038.47","","-1.72%"
"1995- 11- 06","1,062.14","1,065.63","1,068.06","1,061.21","","-0.33%"
"1995- 11- 03","1,065.66","1,059.15","1,065.66","1,056.32","","0.79%"
"1995- 11- 02","1,057.32","1,042.11","1,057.41","1,040.50","","1.62%"
"1995- 11- 01","1,040.50","1,037.30","1,040.72","1,034.36","","0.43%"
"1995- 10- 31","1,036.06","1,043.57","1,046.40","1,035.67","","-0.35%"
"1995- 10- 30","1,039.69","1,028.17","1,040.25","1,025.55","","1.38%"
"1995- 10- 27","1,025.55","1,016.41","1,025.56","1,012.45","","0.78%"
"1995- 10- 26","1,017.57","1,026.20","1,027.66","1,007.28","","-0.87%"
"1995- 10- 25","1,026.47","1,040.10","1,041.57","1,026.18","","-1.23%"
"1995- 10- 24","1,039.24","1,039.53","1,047.01","1,036.88","","0.22%"
"1995- 10- 23","1,036.92","1,035.28","1,039.44","1,031.14","","-0.25%"
"1995- 10- 20","1,039.53","1,046.64","1,048.28","1,036.62","","-0.71%"
"1995- 10- 19","1,046.97","1,042.80","1,047.95","1,039.22","","0.18%"
"1995- 10- 18","1,045.13","1,045.32","1,050.69","1,035.44","","0.94%"
"1995- 10- 17","1,035.44","1,021.53","1,035.64","1,018.13","","1.70%"
"1995- 10- 16","1,018.13","1,018.33","1,021.56","1,016.34","","-0.02%"
"1995- 10- 13","1,018.38","1,020.33","1,024.63","1,015.63","","0.27%"
"1995- 10- 12","1,015.63","1,003.58","1,015.83","1,001.57","","1.40%"
"1995- 10- 11","1,001.57","992.63","1,001.74","983.47","","1.84%"
"1995- 10- 10","983.47","978.64","984.74","956.98","","-0.13%"
"1995- 10- 09","984.74","1,006.81","1,012.05","982.22","","-2.70%"
"1995- 10- 06","1,012.04","1,017.94","1,022.95","1,011.28","","-0.21%"
"1995- 10- 05","1,014.20","1,002.07","1,014.21","999.79","","1.19%"
"1995- 10- 04","1,002.27","1,017.04","1,020.49","1,001.62","","-1.78%"
"1995- 10- 03","1,020.45","1,027.99","1,028.85","1,012.08","","-0.69%"
"1995- 10- 02","1,027.57","1,041.39","1,044.23","1,027.16","","-1.53%"
"1995- 09- 29","1,043.54","1,047.79","1,051.56","1,040.20","","-0.34%"
"1995- 09- 28","1,047.05","1,028.49","1,047.12","1,026.50","","2.00%"
"1995- 09- 27","1,026.54","1,035.00","1,038.01","1,008.38","","-1.11%"
"1995- 09- 26","1,038.05","1,048.04","1,052.93","1,037.79","","-0.77%"
"1995- 09- 25","1,046.15","1,053.53","1,054.11","1,042.53","","-0.69%"
"1995- 09- 22","1,053.39","1,055.68","1,058.51","1,047.89","","-0.48%"
"1995- 09- 21","1,058.51","1,062.73","1,065.09","1,054.51","","-0.62%"
"1995- 09- 20","1,065.09","1,063.42","1,067.01","1,060.32","","0.45%"
"1995- 09- 19","1,060.32","1,049.01","1,060.91","1,048.83","","0.97%"
"1995- 09- 18","1,050.18","1,052.00","1,052.27","1,041.57","","-0.09%"
"1995- 09- 15","1,051.10","1,062.94","1,067.06","1,047.43","","-1.49%"
"1995- 09- 14","1,066.96","1,068.23","1,069.74","1,063.60","","-0.04%"
"1995- 09- 13","1,067.40","1,065.34","1,069.92","1,062.86","","0.23%"
"1995- 09- 12","1,065.00","1,068.70","1,070.47","1,063.97","","-0.15%"
"1995- 09- 11","1,066.56","1,060.47","1,068.27","1,059.89","","0.62%"
"1995- 09- 08","1,060.03","1,052.58","1,060.05","1,048.00","","0.85%"
"1995- 09- 07","1,051.08","1,048.48","1,054.03","1,044.28","","0.65%"
"1995- 09- 06","1,044.28","1,040.67","1,046.45","1,038.61","","0.48%"
"1995- 09- 05","1,039.30","1,021.73","1,039.35","1,019.47","","1.95%"
"1995- 09- 01","1,019.47","1,019.42","1,023.26","1,016.90","","-0.06%"
"1995- 08- 31","1,020.11","1,013.88","1,020.86","1,012.59","","0.74%"
"1995- 08- 30","1,012.61","1,006.96","1,012.87","1,003.36","","0.89%"
"1995- 08- 29","1,003.64","1,007.86","1,008.49","989.33","","-0.45%"
"1995- 08- 28","1,008.15","1,020.70","1,021.73","1,007.95","","-1.16%"
"1995- 08- 25","1,019.97","1,021.53","1,022.85","999.61","","-0.09%"
"1995- 08- 24","1,020.93","1,028.26","1,029.80","1,019.12","","-0.71%"
"1995- 08- 23","1,028.19","1,027.33","1,030.29","1,024.57","","0.28%"
"1995- 08- 22","1,025.29","1,021.48","1,025.63","1,016.33","","0.55%"
"1995- 08- 21","1,019.70","1,033.02","1,035.35","1,017.70","","-1.12%"
"1995- 08- 18","1,031.28","1,032.63","1,034.54","1,028.31","","0.20%"
"1995- 08- 17","1,029.24","1,026.39","1,030.67","1,023.64","","0.34%"
"1995- 08- 16","1,025.75","1,016.19","1,025.92","1,012.36","","1.32%"
"1995- 08- 15","1,012.37","1,014.59","1,016.11","1,007.11","","-0.01%"
"1995- 08- 14","1,012.44","1,004.19","1,012.55","1,003.07","","0.83%"
"1995- 08- 11","1,004.11","1,004.08","1,006.69","999.42","","0.35%"
"1995- 08- 10","1,000.61","1,005.86","1,007.13","998.70","","-0.45%"
"1995- 08- 09","1,005.10","1,003.40","1,006.12","981.33","","0.80%"
"1995- 08- 08","997.12","997.31","999.70","994.92","","0.19%"
"1995- 08- 07","995.22","992.78","997.23","990.97","","0.42%"
"1995- 08- 04","991.09","983.80","991.50","982.68","","0.85%"
"1995- 08- 03","982.70","980.17","983.75","970.60","","-0.11%"
"1995- 08- 02","983.75","995.11","1,001.33","983.32","","-0.74%"
"1995- 08- 01","991.11","1,001.57","1,001.94","986.06","","-1.01%"
"1995- 07- 31","1,001.21","1,006.43","1,007.14","995.44","","-0.40%"
"1995- 07- 28","1,005.28","1,009.99","1,011.12","1,003.06","","-0.53%"
"1995- 07- 27","1,010.66","1,002.43","1,011.90","1,000.17","","1.05%"
"1995- 07- 26","1,000.18","996.77","1,002.79","993.75","","0.65%"
"1995- 07- 25","993.75","984.01","994.78","978.57","","1.55%"
"1995- 07- 24","978.57","964.12","978.86","961.77","","1.75%"
