"날짜","종가","시가","고가","저가","거래량","변동 %"
"2010- 12- 31","2,652.87","2,660.58","2,662.39","2,649.04","283.38M","-0.38%"
"2010- 12- 30","2,662.98","2,665.68","2,671.11","2,661.83","259.17M","-0.15%"
"2010- 12- 29","2,666.93","2,667.18","2,671.23","2,664.51","251.43M","0.15%"
"2010- 12- 28","2,662.88","2,671.85","2,673.02","2,658.21","282.82M","-0.16%"
"2010- 12- 27","2,667.27","2,657.09","2,670.57","2,645.38","9.98M","0.06%"
"2010- 12- 23","2,665.60","2,667.42","2,671.63","2,661.17","282.84M","-0.22%"
"2010- 12- 22","2,671.48","2,669.00","2,675.26","2,666.63","368.13M","0.15%"
"2010- 12- 21","2,667.61","2,658.94","2,669.01","2,655.95","382.42M","0.68%"
"2010- 12- 20","2,649.56","2,651.98","2,658.80","2,634.56","439.14M","0.25%"
"2010- 12- 17","2,642.97","2,643.35","2,651.35","2,637.08","1.03B","0.21%"
"2010- 12- 16","2,637.31","2,620.56","2,639.68","2,613.72","455.58M","0.77%"
"2010- 12- 15","2,617.22","2,625.81","2,643.11","2,613.15","526.79M","-0.40%"
"2010- 12- 14","2,627.72","2,631.34","2,636.85","2,621.05","461.41M","0.11%"
"2010- 12- 13","2,624.91","2,645.35","2,645.79","2,624.56","459.38M","-0.48%"
"2010- 12- 10","2,637.54","2,623.28","2,639.41","2,615.42","433.74M","0.80%"
"2010- 12- 09","2,616.67","2,623.15","2,624.84","2,606.24","483.06M","0.29%"
"2010- 12- 08","2,609.16","2,604.57","2,612.37","2,592.89","447.26M","0.41%"
"2010- 12- 07","2,598.49","2,623.15","2,623.60","2,597.45","514.64M","0.14%"
"2010- 12- 06","2,594.92","2,591.28","2,599.19","2,584.09","408.83M","0.13%"
"2010- 12- 03","2,591.46","2,569.02","2,593.68","2,567.88","468.89M","0.47%"
"2010- 12- 02","2,579.35","2,553.68","2,580.59","2,551.82","527.40M","1.17%"
"2010- 12- 01","2,549.43","2,535.19","2,558.29","2,535.19","565.04M","2.05%"
"2010- 11- 30","2,498.23","2,497.12","2,510.71","2,488.61","768.95M","-1.07%"
"2010- 11- 29","2,525.22","2,522.24","2,531.03","2,496.83","454.93M","-0.37%"
"2010- 11- 26","2,534.56","2,525.91","2,541.49","2,522.40","186.15M","-0.34%"
"2010- 11- 24","2,543.12","2,519.89","2,545.41","2,519.89","435.64M","1.93%"
"2010- 11- 23","2,494.95","2,504.21","2,510.09","2,483.16","502.40M","-1.46%"
"2010- 11- 22","2,532.02","2,509.39","2,532.02","2,501.30","489.60M","0.55%"
"2010- 11- 19","2,518.12","2,510.79","2,520.94","2,499.92","562.10M","0.15%"
"2010- 11- 18","2,514.40","2,504.41","2,526.83","2,502.50","532.08M","1.55%"
"2010- 11- 17","2,476.01","2,471.27","2,486.16","2,467.19","493.76M","0.25%"
"2010- 11- 16","2,469.84","2,494.21","2,503.29","2,459.79","618.45M","-1.75%"
"2010- 11- 15","2,513.82","2,529.02","2,534.56","2,512.29","505.09M","-0.17%"
"2010- 11- 12","2,518.21","2,540.47","2,552.24","2,506.40","581.78M","-1.46%"
"2010- 11- 11","2,555.52","2,534.24","2,559.99","2,524.12","562.07M","-0.90%"
"2010- 11- 10","2,578.78","2,564.31","2,578.78","2,545.46","554.01M","0.62%"
"2010- 11- 09","2,562.98","2,587.08","2,592.94","2,552.93","563.93M","-0.66%"
"2010- 11- 08","2,580.05","2,570.86","2,583.30","2,566.78","471.58M","0.04%"
"2010- 11- 05","2,578.98","2,577.63","2,582.18","2,568.78","548.77M","0.06%"
"2010- 11- 04","2,577.34","2,569.27","2,579.62","2,564.05","656.40M","1.46%"
"2010- 11- 03","2,540.27","2,532.83","2,541.42","2,511.31","540.95M","0.27%"
"2010- 11- 02","2,533.52","2,525.94","2,534.88","2,518.29","516.74M","1.14%"
"2010- 11- 01","2,504.84","2,520.45","2,532.37","2,491.46","502.15M","-0.10%"
"2010- 10- 29","2,507.41","2,505.99","2,517.50","2,505.86","559.25M","0.00%"
"2010- 10- 28","2,507.37","2,516.16","2,516.20","2,489.76","517.08M","0.16%"
