"날짜","종가","시가","고가","저가","거래량","변동 %"
"2015- 06- 11","5,082.51","5,088.26","5,101.39","5,075.05","406.91M","0.11%"
"2015- 06- 10","5,076.69","5,029.41","5,086.66","5,024.17","428.37M","1.25%"
"2015- 06- 09","5,013.86","5,013.13","5,027.02","4,974.61","394.83M","-0.15%"
"2015- 06- 08","5,021.63","5,066.65","5,069.00","5,014.06","388.07M","-0.92%"
"2015- 06- 05","5,068.46","5,057.04","5,074.98","5,025.52","426.33M","0.18%"
"2015- 06- 04","5,059.12","5,078.22","5,101.11","5,046.29","407.34M","-0.79%"
"2015- 06- 03","5,099.23","5,098.48","5,114.60","5,084.99","411.41M","0.45%"
"2015- 06- 02","5,076.52","5,063.47","5,100.02","5,047.35","410.95M","-0.13%"
"2015- 06- 01","5,082.93","5,094.94","5,099.01","5,045.67","444.44M","0.25%"
"2015- 05- 29","5,070.02","5,093.10","5,099.40","5,057.59","545.79M","-0.55%"
"2015- 05- 28","5,097.98","5,096.34","5,106.65","5,080.25","400.53M","-0.17%"
"2015- 05- 27","5,106.59","5,047.86","5,111.54","5,039.37","424.87M","1.47%"
"2015- 05- 26","5,032.75","5,076.91","5,081.17","5,016.73","442.17M","-1.11%"
"2015- 05- 22","5,089.36","5,085.39","5,103.84","5,085.19","363.37M","-0.03%"
"2015- 05- 21","5,090.79","5,065.94","5,098.23","5,062.51","381.24M","0.38%"
"2015- 05- 20","5,071.74","5,072.44","5,097.52","5,050.21","401.52M","0.03%"
"2015- 05- 19","5,070.03","5,080.44","5,087.35","5,062.80","412.31M","-0.17%"
"2015- 05- 18","5,078.44","5,040.92","5,084.50","5,037.54","391.35M","0.60%"
"2015- 05- 15","5,048.29","5,059.15","5,062.65","5,034.84","431.42M","-0.05%"
"2015- 05- 14","5,050.80","5,016.68","5,051.72","4,999.65","404.81M","1.39%"
"2015- 05- 13","4,981.69","4,991.42","5,012.97","4,977.49","384.76M","0.11%"
"2015- 05- 12","4,976.19","4,966.44","4,995.50","4,931.60","403.84M","-0.35%"
"2015- 05- 11","4,993.57","5,003.26","5,017.38","4,992.02","410.32M","-0.20%"
"2015- 05- 08","5,003.55","4,991.63","5,014.33","4,989.26","450.65M","1.17%"
"2015- 05- 07","4,945.54","4,917.75","4,957.12","4,914.53","470.26M","0.53%"
"2015- 05- 06","4,919.64","4,956.70","4,965.10","4,888.17","496.02M","-0.40%"
"2015- 05- 05","4,939.33","5,000.19","5,008.27","4,934.34","479.75M","-1.55%"
"2015- 05- 04","5,016.93","5,018.35","5,043.62","5,013.02","415.23M","0.23%"
"2015- 05- 01","5,005.39","4,966.32","5,005.39","4,962.74","461.13M","1.29%"
"2015- 04- 30","4,941.42","4,996.99","5,015.96","4,921.56","591.67M","-1.64%"
"2015- 04- 29","5,023.64","5,028.45","5,053.85","4,999.83","443.71M","-0.63%"
"2015- 04- 28","5,055.42","5,063.26","5,075.30","5,006.28","476.10M","-0.10%"
"2015- 04- 27","5,060.25","5,104.36","5,119.83","5,053.54","506.28M","-0.63%"
"2015- 04- 24","5,092.09","5,096.34","5,100.37","5,081.21","467.32M","0.71%"
"2015- 04- 23","5,056.06","5,020.22","5,073.09","5,019.30","435.93M","0.41%"
"2015- 04- 22","5,035.17","5,026.57","5,040.65","4,992.62","398.30M","0.42%"
"2015- 04- 21","5,014.10","5,023.96","5,028.22","5,009.51","381.51M","0.39%"
"2015- 04- 20","4,994.60","4,958.07","5,000.20","4,952.68","386.63M","1.27%"
"2015- 04- 17","4,931.81","4,966.11","4,974.09","4,912.32","506.00M","-1.52%"
"2015- 04- 16","5,007.79","4,999.36","5,016.00","4,996.00","383.97M","-0.06%"
"2015- 04- 15","5,011.02","4,992.62","5,021.19","4,989.24","425.85M","0.68%"
"2015- 04- 14","4,977.29","4,988.82","4,996.82","4,952.01","364.24M","-0.22%"
"2015- 04- 13","4,988.25","5,001.56","5,024.25","4,985.96","369.22M","-0.15%"
"2015- 04- 10","4,995.98","4,977.03","4,996.08","4,970.02","341.08M","0.43%"
"2015- 04- 09","4,974.56","4,950.84","4,975.93","4,928.11","387.11M","0.48%"
"2015- 04- 08","4,950.82","4,914.15","4,956.72","4,914.15","409.41M","0.83%"
"2015- 04- 07","4,910.23","4,917.50","4,948.88","4,909.77","373.96M","-0.14%"
"2015- 04- 06","4,917.32","4,855.94","4,929.62","4,852.91","466.90M","0.62%"
"2015- 04- 02","4,886.94","4,885.41","4,901.32","4,872.96","383.83M","0.14%"
"2015- 04- 01","4,880.23","4,894.36","4,899.38","4,844.39","457.08M","-0.42%"
"2015- 03- 31","4,900.88","4,925.91","4,940.87","4,899.31","509.76M","-0.94%"
"2015- 03- 30","4,947.44","4,921.78","4,948.46","4,921.12","419.66M","1.15%"
"2015- 03- 27","4,891.22","4,863.74","4,899.26","4,859.65","429.39M","0.57%"
"2015- 03- 26","4,863.36","4,835.72","4,889.21","4,825.93","488.34M","-0.27%"
"2015- 03- 25","4,876.52","5,002.83","5,006.76","4,876.52","518.11M","-2.37%"
"2015- 03- 24","4,994.73","5,010.10","5,032.48","4,994.56","383.80M","-0.32%"
"2015- 03- 23","5,010.97","5,020.60","5,031.39","5,010.97","394.24M","-0.31%"
"2015- 03- 20","5,026.42","5,033.47","5,042.14","5,020.06","1.07B","0.68%"
"2015- 03- 19","4,992.38","4,982.02","5,000.02","4,979.94","388.56M","0.19%"
"2015- 03- 18","4,982.83","4,926.83","5,001.57","4,907.72","473.04M","0.92%"
"2015- 03- 17","4,937.44","4,912.65","4,944.91","4,907.02","415.82M","0.16%"
"2015- 03- 16","4,929.51","4,897.27","4,929.94","4,889.09","417.73M","1.19%"
"2015- 03- 13","4,871.76","4,885.54","4,904.47","4,842.80","439.59M","-0.44%"
"2015- 03- 12","4,893.29","4,853.98","4,895.80","4,853.20","451.95M","0.89%"
"2015- 03- 11","4,849.94","4,866.94","4,876.09","4,846.79","456.59M","-0.20%"
"2015- 03- 10","4,859.80","4,899.51","4,903.44","4,859.80","460.96M","-1.67%"
"2015- 03- 09","4,942.44","4,936.08","4,950.47","4,920.82","405.49M","0.31%"
"2015- 03- 06","4,927.37","4,967.24","4,982.93","4,918.62","462.81M","-1.11%"
"2015- 03- 05","4,982.81","4,979.95","4,993.52","4,963.10","417.03M","0.32%"
"2015- 03- 04","4,967.14","4,961.24","4,973.32","4,938.90","433.19M","-0.26%"
"2015- 03- 03","4,979.90","4,990.70","4,996.66","4,956.07","481.23M","-0.56%"
"2015- 03- 02","5,008.10","4,973.43","5,008.57","4,972.01","468.54M","0.90%"
"2015- 02- 27","4,963.53","4,985.03","4,989.25","4,960.88","485.69M","-0.49%"
"2015- 02- 26","4,987.89","4,969.27","4,989.11","4,955.51","437.96M","0.42%"
"2015- 02- 25","4,967.14","4,960.36","4,984.24","4,955.99","422.94M","-0.02%"
"2015- 02- 24","4,968.12","4,956.21","4,971.18","4,945.14","429.64M","0.14%"
"2015- 02- 23","4,960.97","4,953.10","4,960.97","4,939.56","452.05M","0.10%"
"2015- 02- 20","4,955.97","4,919.78","4,957.02","4,905.59","456.72M","0.63%"
"2015- 02- 19","4,924.70","4,901.51","4,929.53","4,900.63","380.21M","0.37%"
"2015- 02- 18","4,906.36","4,890.84","4,907.50","4,885.60","410.20M","0.14%"
"2015- 02- 17","4,899.27","4,889.98","4,901.89","4,880.64","450.15M","0.11%"
"2015- 02- 13","4,893.84","4,869.73","4,893.84","4,860.12","455.86M","0.75%"
"2015- 02- 12","4,857.61","4,828.08","4,857.61","4,823.57","480.02M","1.18%"
"2015- 02- 11","4,801.18","4,788.37","4,810.36","4,780.13","433.80M","0.28%"
"2015- 02- 10","4,787.65","4,754.62","4,793.27","4,737.12","441.96M","1.30%"
"2015- 02- 09","4,726.01","4,723.73","4,749.47","4,719.61","411.22M","-0.39%"
"2015- 02- 06","4,744.40","4,768.85","4,787.19","4,731.22","494.10M","-0.43%"
"2015- 02- 05","4,765.10","4,729.65","4,767.38","4,722.80","501.77M","1.03%"
"2015- 02- 04","4,716.70","4,699.81","4,744.33","4,697.79","549.87M","-0.23%"
"2015- 02- 03","4,727.74","4,693.25","4,727.74","4,670.82","553.80M","1.09%"
"2015- 02- 02","4,676.69","4,650.60","4,676.69","4,580.46","525.39M","0.89%"
"2015- 01- 30","4,635.24","4,671.20","4,703.81","4,631.10","638.81M","-1.03%"
"2015- 01- 29","4,683.41","4,635.73","4,688.41","4,601.76","529.67M","0.98%"
"2015- 01- 28","4,637.99","4,740.69","4,742.06","4,637.48","534.45M","-0.93%"
"2015- 01- 27","4,681.50","4,698.23","4,721.88","4,659.83","469.34M","-1.89%"
"2015- 01- 26","4,771.76","4,752.36","4,774.18","4,734.20","460.89M","0.29%"
"2015- 01- 23","4,757.88","4,748.19","4,771.18","4,737.95","414.94M","0.16%"
"2015- 01- 22","4,750.40","4,690.93","4,752.60","4,644.57","515.53M","1.78%"
"2015- 01- 21","4,667.42","4,641.95","4,692.46","4,629.59","463.22M","0.27%"
"2015- 01- 20","4,654.85","4,655.84","4,665.65","4,601.10","473.62M","0.44%"
"2015- 01- 16","4,634.38","4,566.38","4,635.82","4,563.11","548.60M","1.39%"
"2015- 01- 15","4,570.82","4,657.46","4,663.96","4,567.39","525.69M","-1.48%"
"2015- 01- 14","4,639.32","4,610.76","4,655.37","4,595.98","527.38M","-0.48%"
"2015- 01- 13","4,661.50","4,708.74","4,751.34","4,624.28","566.52M","-0.07%"
"2015- 01- 12","4,664.71","4,714.07","4,715.81","4,650.65","491.28M","-0.84%"
"2015- 01- 09","4,704.07","4,744.47","4,744.71","4,681.24","430.67M","-0.68%"
"2015- 01- 08","4,736.19","4,689.54","4,741.38","4,688.02","548.10M","1.84%"
"2015- 01- 07","4,650.47","4,626.84","4,652.72","4,613.90","482.51M","1.26%"
"2015- 01- 06","4,592.74","4,666.85","4,667.33","4,567.60","553.62M","-1.29%"
"2015- 01- 05","4,652.57","4,700.34","4,702.77","4,641.46","476.45M","-1.57%"
"2015- 01- 02","4,726.81","4,760.24","4,777.01","4,698.11","367.74M","-0.20%"
